Name,Cuisine,Before_Image,After_Image,Filename,Reason
"Ma La Sichuan","japanese","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","japanese_ma-la-sichuan_london_highres.webp","cuisine_matched_replacement"
"Golden Dragon (Chinatown)","japanese","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1505253716362-af3e789f8724?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","japanese_golden-dragon-chinatown_london_highres.webp","cuisine_matched_replacement"
"Speedboat Bar","japanese","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","japanese_speedboat-bar_london_highres.webp","cuisine_matched_replacement"
"Kolae","thai","https://images.unsplash.com/photo-1548940740-204726a115ae?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_kolae_london_highres.webp","cuisine_matched_replacement"
"Nua","thai","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_nua_london_highres.webp","cuisine_matched_replacement"
"AngloThai","thai","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_anglothai_london_highres.webp","cuisine_matched_replacement"
"Plaza Khao Gaeng","thai","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1548940740-204726a115ae?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_plaza-khao-gaeng_london_highres.webp","cuisine_matched_replacement"
"Patara Knightsbridge","thai","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_patara-knightsbridge_london_highres.webp","cuisine_matched_replacement"
"Champor-Champor","thai","https://images.unsplash.com/photo-1548940740-204726a115ae?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_champor-champor_london_highres.webp","cuisine_matched_replacement"
"Kin + Deum","thai","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_kin-deum_london_highres.webp","cuisine_matched_replacement"
"Chet's","thai","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_chets_london_highres.webp","cuisine_matched_replacement"
"Patara Oxford Circus","thai","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1548940740-204726a115ae?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","thai_patara-oxford-circus_london_highres.webp","cuisine_matched_replacement"
"ANA Turkish Restaurant and Bar","british","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","british_ana-turkish-restaurant-and-bar_london_highres.webp","cuisine_matched_replacement"
"Efes Premium","turkish","https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","turkish_efes-premium_london_highres.webp","cuisine_matched_replacement"
"The Mantl","turkish","https://images.unsplash.com/photo-1565299585323-38174c4aab98?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1548940740-204726a115ae?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","turkish_the-mantl_london_highres.webp","cuisine_matched_replacement"
"Cirrik 19 Numara Bos","turkish","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1504674900247-087700f998c5?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","turkish_cirrik-19-numara-bos_london_highres.webp","cuisine_matched_replacement"
"Liman Restaurant","turkish","https://images.unsplash.com/photo-1548940740-204726a115ae?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","turkish_liman-restaurant_london_highres.webp","cuisine_matched_replacement"
"Antalya","turkish","https://images.unsplash.com/photo-1504674900247-087700f998c5?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299585323-38174c4aab98?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","turkish_antalya_london_highres.webp","cuisine_matched_replacement"
"Fes Restaurant","turkish","https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","turkish_fes-restaurant_london_highres.webp","cuisine_matched_replacement"
"Bouchon Racine","french","https://images.unsplash.com/photo-1519671482749-fd09be7c511a?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_bouchon-racine_london_highres.webp","cuisine_matched_replacement"
"Le Relais de Venise L'Entrecote | Marylebone","french","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_le-relais-de-venise-lentrecote_london_highres.webp","cuisine_matched_replacement"
"L'Escargot Restaurant","french","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1519671482749-fd09be7c511a?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_lescargot-restaurant_london_highres.webp","cuisine_matched_replacement"
"Galvin La Chapelle","french","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_galvin-la-chapelle_london_highres.webp","cuisine_matched_replacement"
"Chez Bruce","french","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_chez-bruce_london_highres.webp","cuisine_matched_replacement"
"Maison François","french","https://images.unsplash.com/photo-1519671482749-fd09be7c511a?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_maison-franois_london_highres.webp","cuisine_matched_replacement"
"Casse-Croûte","french","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_casse-crote_london_highres.webp","cuisine_matched_replacement"
"Clos Maggiore","french","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1519671482749-fd09be7c511a?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_clos-maggiore_london_highres.webp","cuisine_matched_replacement"
"Pavyllon London","french","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_pavyllon-london_london_highres.webp","cuisine_matched_replacement"
"La Trompette","french","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","french_la-trompette_london_highres.webp","cuisine_matched_replacement"
"El Pirata Of Mayfair - Tapas Bar Español","british","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","british_el-pirata-of-mayfair---tapas-b_london_highres.webp","cuisine_matched_replacement"
"Copita Fitzrovia Tapas Bar","spanish","https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_copita-fitzrovia-tapas-bar_london_highres.webp","cuisine_matched_replacement"
"La Gamba - Spanish Tapas Bar & Restaurant","british","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","british_la-gamba---spanish-tapas-bar-r_london_highres.webp","cuisine_matched_replacement"
"Salt Yard","spanish","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_salt-yard_london_highres.webp","cuisine_matched_replacement"
"Koko Grill Korean BBQ Restaurant","korean","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_koko-grill-korean-bbq-restaura_london_highres.webp","cuisine_matched_replacement"
"Arang Restaurant","korean","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_arang-restaurant_london_highres.webp","cuisine_matched_replacement"
"Soju Korean Restaurant","korean","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_soju-korean-restaurant_london_highres.webp","cuisine_matched_replacement"
"Jang Restaurant","korean","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_jang-restaurant_london_highres.webp","cuisine_matched_replacement"
"Korean Dinner Party","korean","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_korean-dinner-party_london_highres.webp","cuisine_matched_replacement"
"YORI Piccadilly Circus Korean BBQ","korean","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_yori-piccadilly-circus-korean-_london_highres.webp","cuisine_matched_replacement"
"Bibimbap Soho","korean","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_bibimbap-soho_london_highres.webp","cuisine_matched_replacement"
"Daebak","korean","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","korean_daebak_london_highres.webp","cuisine_matched_replacement"
"Cu4tro Restaurant & Tequila Bar","mexican","https://images.unsplash.com/photo-1565299585323-38174c4aab98?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299585323-38174c4aab98?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","mexican_cu4tro-restaurant-tequila-bar_london_highres.webp","cuisine_matched_replacement"
"Mestizo Mexican Restaurant & Tequila Bar","mexican","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","mexican_mestizo-mexican-restaurant-teq_london_highres.webp","cuisine_matched_replacement"
"Wahaca Covent Garden","mexican","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","mexican_wahaca-covent-garden_london_highres.webp","cuisine_matched_replacement"
"Santo Remedio - Asador, London Bridge","spanish","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_santo-remedio---asador-london-_london_highres.webp","cuisine_matched_replacement"
"El Pastor Soho","spanish","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_el-pastor-soho_london_highres.webp","cuisine_matched_replacement"
"Los Mochis London City","spanish","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_los-mochis-london-city_london_highres.webp","cuisine_matched_replacement"
"Mestizo Chelsea: Mexican Restaurant & Margarita Bar","mexican","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","mexican_mestizo-chelsea-mexican-restau_london_highres.webp","cuisine_matched_replacement"
"Mexican Seoul","mexican","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","mexican_mexican-seoul_london_highres.webp","cuisine_matched_replacement"
"El Cenote","spanish","https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_el-cenote_london_highres.webp","cuisine_matched_replacement"
"Cavita","spanish","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_cavita_london_highres.webp","cuisine_matched_replacement"
"Yucca London","spanish","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","spanish_yucca-london_london_highres.webp","cuisine_matched_replacement"
"Taste of Lahore","indian","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","indian_taste-of-lahore_london_highres.webp","cuisine_matched_replacement"
"The Banc","british","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","british_the-banc_london_highres.webp","cuisine_matched_replacement"
"Shahs Halal Food Soho","indian","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","indian_shahs-halal-food-soho_london_highres.webp","cuisine_matched_replacement"
